,id,year,name,nrWords
0,0,2001,taillard-01,1999
1,1,2001,hansen-01,2141
2,2,2003,dumitrescu-03,5717
3,3,2003,fischetti-03,3148
4,4,2004,klau-04,1849
5,5,2004,fischetti-04,2638
6,6,2005,danna-05,3901
7,7,2005,puchinger-05,2182
8,8,2006,sniedovich-06,3784
9,9,2006,hansen-06,1888
10,10,2007,rothberg-07,1883
11,11,2007,boschetti-07,3994
12,12,2008,raidl-08,5717
13,13,2008,puchinger-08,1786
14,14,2009,fischetti-09,4446
15,15,2009,jourdan-09,3117
16,16,2009,caserta-09,6877
17,17,2009,puchinger-09,5271
18,18,2009,dumitrescu-09,4978
19,19,2010,schmid-10,2337
20,20,2010,lazic-10,3625
21,21,2010,hanafi-10,2319
22,22,2010,angeletti-10,2190
23,23,2011,pinheiro-11,3696
24,24,2011,blum-11,7151
25,25,2011,bollapragada-11,3017
26,26,2011,perboli-11,4491
27,27,2013,yaghini-13,2147
28,28,2013,boussaid-13,9185
29,29,2013,parragh-13,2999
30,30,2013,villegas-13,4049
31,31,2013,allaoua-13,857
32,32,2013,chouman-13,3190
33,33,2013,maras-13,5004
34,34,2013,raa-13,3184
35,35,2013,vu-13,5047
36,36,2014,lin-14,2402
37,37,2014,brouer-14,5833
38,38,2014,caserta-14,3840
39,39,2014,cafieri-14,1931
40,40,2014,archetti-14,4608
41,41,2014,smet-14,3023
42,42,2014,ren-14,181
43,43,2014,dangaard-14,5833
44,44,2014,calleja-14,3090
45,45,2014,thiruvady-14,139
46,46,2014,dellacroce-14,2400
47,47,2014,vanovermeire-14,5514
48,48,2014,archetti2-14,2857
49,49,2014,camargo-14,4550
50,50,2014,baldacci-14,3782
51,51,2014,ljubic-14,4645
52,52,2014,bosco-14,3568
53,53,2014,manerba-14,2953
54,54,2014,cacchiani-14,2507
55,55,2015,lahyani-15,369
56,56,2015,blum-15,133
57,57,2015,boschetti-15,4000
58,58,2015,fischetti-15,2051
59,59,2015,raidl-15,4887
60,60,2015,archetti-15,3466
61,61,2015,amorin-15,2275
62,62,2015,lannez-15,5289
63,63,2015,urrutia-15,3247
64,64,2015,billaut-15,2240
65,65,2015,stefanello-15,2973
66,66,2015,guerrero-15,3547
67,67,2015,yaghini-15,2598
68,68,2015,lopes-15,2985
69,69,2015,obal-15,1524
70,70,2015,kramer-15,3798
71,71,2016,hemmati-16,4715
72,72,2016,mancini-16,3117
73,73,2016,talbi-16,7835
74,74,2016,zhang-16,5092
75,75,2016,lin-16,3111
76,76,2016,lallaRuiz-16,2635
77,77,2016,lusby-16,4878
78,78,2016,ritzinger-16,3796
79,79,2016,fonseca-16,2712
80,80,2016,bertazzi-16,3272
81,81,2016,fischetti-16,2848
82,82,2016,Lin-16,2144
83,83,2016,fischetti2-16,2005
84,84,2016,akhmedov-16,2440
85,85,2016,blum-16,4374
86,86,2016,haahr-16,4381
87,87,2016,arbaoui-16,3446
88,88,2017,valeva-17,3725
89,89,2017,lahyani-17,4754
90,90,2017,behnamian-17,3124
91,91,2017,hill-17,4487
92,92,2017,koc-17,3112
93,93,2017,archetti-17,82
94,94,2017,wang-17,3550
95,95,2017,guastaroba-17,4867
96,96,2017,martinez-17,5134
97,97,2017,ade-17,4974
98,98,2017,mancini-17,2722
99,99,2017,sender-17,4104
100,100,2017,bruglieri-17,964
101,101,2017,li-17,4279
102,102,2017,fanjul-17,3836
103,103,2017,christensen-17,4362
104,104,2017,alekseeva-17,3773
105,105,2017,nishi-17,2837
106,106,2017,kartsten-17,3773
107,107,2017,lallaRuiz.17,3381
108,108,2017,akbari-17,5560
109,109,2017,grangier-17,3368
110,110,2017,martinez-gavara-17,3680
111,111,2017,parragh-17,4601
112,112,2018,gendron-18,3397
113,113,2018,summary,9299
114,114,2018,fischetti-18,4855
115,115,2018,caserta-18,4277
116,116,2018,hitoshi-18,7166
117,117,2018,felberbauer-18,5544
118,118,2018,moench-18,4424
119,119,2018,never-moreira-18,6958
120,120,2018,dupin-18,4965
121,121,2018,desfontaines-18,4945
122,122,2018,ta-18,2288
123,123,2018,taillard-18,2485
124,124,2018,brito-18,6319
125,125,2018,gnagi-18,6212
126,126,2018,cabrera-18,4981
127,127,2018,rothenbaecher-18,4104
128,128,2018,decerle-18,3921
129,129,2018,guido-18,6630
130,130,2018,archetti-18,2997
131,131,2018,alburquerque-18,2672
132,132,2018,carvalho-18,3502
133,133,2018,hojabri,3107
134,134,2018,fuentes-18,2246
135,135,2018,lindhal-18,2945
136,136,2018,wolfinger-18,6101
137,137,2018,agra-18,3986
138,138,2018,doi-18,3939
139,139,2018,cattaruzza-18,4967
140,140,2018,irawan-18,4028
141,141,2018,zhang-18,4058
142,142,2018,regis-18,3636
143,143,2018,hill-18,3609
144,144,2018,cadarso-18,6065
145,145,2018,calvete-18,2517
146,146,2018,wu-18,4173
147,147,2018,paiva-18,6494
148,148,2018,keshin-18,4608
149,149,2018,ghaffarinasab-18,4283
150,150,2018,framinan-18,2817
151,151,2018,woo-18,4639
152,152,2018,mancini-18,3039
153,153,2018,pinheiro-18,1178
154,154,2018,maenhout-18,6358
155,155,2018,melchiori-18,5021
156,156,2018,gutierrez-jarpa-18,2459
157,157,2018,aldasoro-18,3726
158,158,2018,leggieri-18,2444
159,159,2018,lersteau-18,4445
160,160,2018,sadykov-18,5147
161,161,2019,stalhane-19,5611
162,162,2019,meisel-19,4226
163,163,2019,woo-19,4018
164,164,2019,guimaraes-19,4055
165,165,2019,perumal-19,5205
166,166,2019,macrina-19,3707
167,167,2019,lallaRuiz-19,2740
168,168,2019,cunha-19,3502
169,169,2019,birgin-19,3852
170,170,2019,ramos-19,5090
171,171,2019,bagger-19,5453
172,172,2019,chitsaz-19,5539
173,173,2019,andersen-19,3369
174,174,2019,tautenhain-19,5547
175,175,2019,leggieri-19,2444
176,176,2019,moussavi-19,5769
177,177,2019,yu-19,5099
178,178,2019,irawan-19,5751
179,179,2019,brech-19,5290
180,180,2019,hernandez-19,3612
181,181,2019,bertazzi-19,4725
182,182,2019,christensen-19,4726
183,183,2019,fonseca-19,4098
184,184,2019,lahyani-19,3277
185,185,2019,ghirardi-19,3478
186,186,2019,lin-19,1950
187,187,2019,samer-19,4059
188,188,2019,hernandez-leandro-19,2387
189,189,2019,verbiest-19,4012
190,190,2019,otto-19,5018
191,191,2019,raidl-19,6143
192,192,2019,oliveira-19,7542
193,193,2019,nikzad-19,3924
